Length,Password,Hash,Average Time,Standard Deviation
1,n,917148ec47923f2e0e3d73142ac4f94ec4c73078865ba6d29f0ea172cd6f4bf34db699af5c33535d3694d4aef91a11f916004d0382f794448a8550623d34c985,1.9168853759765626e-05,2.4397002988624436e-06
1,6,3c9ad55147a7144f6067327c3b82ea70e7c5426add9ceea4d07dc2902239bf9e049b88625eb65d014a7718f79354608cab0921782c643f0208983fffa3582e40,4.2319297790527344e-05,3.191307863435946e-06
1,3,3bafbf08882a2d10133093a1b8433f50563b93c14acd05b79028eb1d12799027241450980651994501423a66c276ae26c43b739bc65c4e16b10c3af6c202aebb,3.5810470581054685e-05,6.03156597169567e-07
1,1,4dff4ea340f0a823f15d3f4f01ab62eae0e5da579ccb851f8db9dfe84c58b2b37b89903a740e1ee172da793a6e79d560e5f7f9bd058a12a280433ed6fa46510a,3.4809112548828125e-05,5.947204250930057e-07
1,s,2c1ee68372215b1ce064426b5cdbd4ef2581ace0dd3b21fa2be27f364827242e83f68b68be03f5b3e24be5d1b4315f98a0a96d19713fb3a19dc455fb6adc3431,2.4008750915527344e-05,1.1516711510173033e-07
2,ur,be652a47f2b194b10d406f83af396f95fec874df05ab0c70cf74e5ca5acf5552c2e4a1e4c9adaa48c77fb9bcd6ba6c1428ad017ecafba23cf4b7f471f9731506,0.0009652376174926758,1.562536264892159e-05
2,hf,123e6b6dac9310d2752a16d523bcbda9dd760d1adab999c97836eb7fcae2935f5be801b3fcbaec7bcd7ee6933b9271b99dc2cd861db4b9f5a80ac079baf3027c,0.00038769245147705076,0.0001763820744875668
2,70,c386662ba940c3dab369a16cc66bbfac61d14f0ffb789270a93cab315e7a297fa8765c105b3c735f509973e4771f5fa1a50ecf6e216d57715a044b662e59265b,0.001439213752746582,1.7466409793035377e-05
2,d3,eaddf5edcc5994d3b3e9d790d2061619c31a80471a38b1632da328cd6e74a42ea68b18755cab97b36ca3fa117bb5fb199dff93764ea4f5e771bd3617030a31ca,0.00016965866088867188,1.3442053679642607e-05
2,rs,34310f577bab68827404028614571979a7a216e5aaa5269a56b1dd47e93a57a3f996268fe39170f22764f44e48c17c2c4dba72e85125d6fa5a2556309bd0a45f,0.0007568836212158203,3.551898079114606e-05
3,qd5,fb767c9036872a150a81b0de888b055ea1b91da9437bfbb3783ef3b0c0690bcbe354bd46c3eb13e5d742b2867cc64ec010caf4908624b5772959094c52ee1846,0.026007437705993654,0.0006208301428673804
3,h8c,3dc8184c7af8a3d3c9f8a7656e3c02bea6d1be53d0190cc2c04c5e81a8300c7cf93bec8b02d5f7c30a99b88cee60f132650a66a749e1cb7800e1fccf2c1c7dc9,0.01265559196472168,0.00017523328367677454
3,t9k,1d8337967907d43755c5e73e444f46e92a3456a1957e7efc034db826f724d6d2c6e583a6cdb2ce16d4bc94409285bd1467acc5cd131499f9b92db505304173b9,0.03241310119628906,0.0005459600738850574
3,46q,319bfea8ac62b74438e7b573ffc3495224a0cd79286c70ef06161ccbfaac1ab90f9472d9710e9f9edf692a26cd802f18b0ad3ef796feed6cad49f8ea04969cd3,0.05063621997833252,0.0014348321146714135
3,3ge,2e07bb56d9ced04ffd953e1803230aaab85ed7f88d8b116d5f018f2d1c91064705c6563286bff852b79e52affd20361091f2925a165b7fa8288843c56ae1cc6a,0.0500546932220459,0.0019615675735471408
