Length,Password,Hash,Average Time
1,h,2241bc8fc70705b42efead371fd4982c5ba69917e5b4b895810002644f0386da9c3131793458c2bf47608480d64a07278133c99912e0ba2daf23098f3520eb97,0.0000031293
1,x,a4abd4448c49562d828115d13a1fccea927f52b4d5459297f8b43e42da89238bc13626e43dcb38ddb082488927ec904fb42057443983e88585179d50551afe62,0.000009295700000000001
1,n,917148ec47923f2e0e3d73142ac4f94ec4c73078865ba6d29f0ea172cd6f4bf34db699af5c33535d3694d4aef91a11f916004d0382f794448a8550623d34c985,0.0000051874
2,l3,d42e7056d8aa1562a4c422b70fb871b2181945bc61829a1814a8ef36a7b776954b69d957836481fa37b75c6bf476df96306fe681973353ab3ba3e2757ede2fc2,0.000150629
2,ma,00332a8bfbd08305d87216497a4eb79f966d5a25baa70b1a87385ac8623af8f4ff9f4d453599713c01193fd3d4b8dd6e7f7bd448c3ed872f27122ede131c0638,0.00015493340000000003
2,yk,6ee9104625c1df4482a98937a768b0a85978f51429bee259eb592024a16b1b25da46cb92c010804ca7869811d5343b805353d728ddf69603f1c8724734408606,0.00030521670000000005
3,vzk,fe7f36381bdabd2f97e2d1882fecdc3917835c98475becfea9e9a0a90ebb5094e979cae368c430d66862f704ef3add4fdacd7e8673ed0102abfaf32d847dc679,0.0099213583
3,o58,355ba45e31dbec1cd2beea174beb822c46593c420a110320d0b5a87f33ba362e823850a9a7c1f972b5b213d271cf75a8ebcb337b79ddcd9a63dc6c58beb1b03f,0.00665695
3,g85,02b37fcea5d78c9f55dd4ef87681af2659b18c73f1720e8ca9ff98cb7543f4d67558066222851bee9c12eb6f554d2e0d51dd87420ed29e6d49554d0d1ba0ed5f,0.0031107582
4,mxyo,55b67208772abc675c1b0df2f4afd9085de5f53b43f7ad28f9a2f5304792c984444d1ff969315fecd85dfcb8abbdcd35b8f3c8e1f0dda469633a26ceee2369c1,0.2041281499
4,7f6w,892e1899b03840bcafa4091122f8494928cc5bd18b3bd82f3d1d4fb3637368af4d6a9f121d57d81fd052adf3d960e2c4f317c39f04169778b7a45a4d20164094,0.5365680583
4,9s95,cd6aad8b02748f172318bc733809f4816da4854b937e6b8a25237cf7dcc3a6eb6c4d9e4a6cb8abaa50476ff1602f03b2a839f0020ff483dfb42e735a44faea6b,0.5712043707000001
5,jg0wh,14cfce13636aed9d6457b8e64fa734abcfbc29dd30edc38985735aaec14b60c3bbb30db2558c7576d11152b5eab10548948c6848988f8ec9686577f12d4d499a,5.3696222502
5,fnt6u,edee80d52e51973ece2f5c9251a7c0b4e658db1bd14b638ced43f1f0d8356731c821e56938a1f5581a7dd015befea6e90f720ead5ba61b08a05f480c60ce86d9,3.1839063332000004
5,5vt3q,4bd6df93cecb00bcf87e9e58cda815ed5bbc8abdec047fdbc175e296a582c2302d4f89390c5a6e634d2c202b14a237a4fd1b59b4be36872486b023ad002ab700,19.330448124999997
